Title,Author,Date,EstimatedDate,Text
US disrupted alleged Russian trolls' internet access during midterms: Report,Lee Ferran,"Tue, 26 Feb 2019 14:40:00 GMT",N/A,"U.S. cyber operators disrupted internet access for purported Russian trolls on the day of the 2018 midterm elections in a bid to hamper their propaganda operations, according to a report by The Washington Post.
The operation by U.S. Cyber Command reportedly targeted the St. Petersburg-based Internet Research Agency (IRA), which U.S. officials and prosecutors from Robert Mueller’s special counsel team allege operated an expansive influence operation designed in part to undermine American democracy by sowing discord online ahead of the 2016 presidential election and 2018 midterm elections.
“They basically took the IRA offline,” an individual familiar with the operation told the Post. “They shut ‘em down.”
The head of U.S. Cyber Command and the National Security Agency (NSA), Gen. Paul Nakasone, previously indicated his cyber warriors would be more aggressive in countering America’s adversaries across borders in cyberspace. Ahead of the midterms, the U.S. set up the “Russia Small Group,” a joint Cyber Command-NSA task force, specifically to “assist in the securing of the 2018 midterm elections,” he said.
“Acting includes defending forward,” he said in an interview with the military journal Joint Force Quarterly (JFQ). “How do we warn, how do we influence our adversaries, how do we position ourselves in case we have to achieve outcomes in the future? Acting is the concept of operating outside our borders, being outside our networks, to ensure that we understand what our adversaries are doing.”
The New York Times previously reported that Cyber Command officials had taken to warning individual alleged Russian operatives suspected of spreading disinformation online that they should not mess with the midterms.
Representatives for the NSA and Cyber Command did not immediately return ABC News’ requests for comment.
It remains to be seen what kind of impact the reported internet disruption may have had, according to experts.
Bret Schafer, a social media analyst at the Alliance for Securing Democracy, told ABC News that his organization didn’t notice a dramatic drop off of online propaganda on the day of the midterms, but he noted that his organization wasn’t focused solely on purported IRA accounts. He also pointed out that by then social media giants Twitter and Facebook already had taken down hundreds of accounts suspected to be linked to the IRA and other nefarious actors.
After conducting a review of foreign interference attempts during the midterms, the U.S. intelligence community released a report concluding that while there was no evidence that votes or vote tallies were altered, online influence operations emanating from Russia and other nations persisted similar to the weeks leading up to voting.
Jake Williams, a former Defense Department cyber operations official, told ABC News, “I don’t doubt they caused disruptions, I’m only dubious about how much... [But] it’s important to remember that this is a disruption operation, so any level of disruption is considered a success. It’s not necessary to take the target completely offline to be ‘successful.’”
Williams said that a potential problem with such operations is that American cyber operators can likely only use whatever secret tactics they used once.
“Unlike a missile that you test and say ‘if you oppose us, you’ve got one of these coming,’ cyber weapons are easy to defend against once you know what’s happening,” he said.
In his interview with JFQ, Nakasone suggested that U.S. Cyber Command was no longer interested in holding its cyber tools in reserve.
“Unlike the nuclear realm, where our strategic advantage or power comes from possessing a capability or weapons system, in cyberspace it’s the use of cyber capabilities that is strategically consequential,” he said. “The threat of using something in cyberspace is not as powerful as actually using it because that’s what our adversaries are doing to us.”"
Appeals court says special counsel Robert Mueller 'properly appointed'; orders ex-Stone aide to testify,Ali Dukakis,"Tue, 26 Feb 2019 09:05:00 GMT",N/A,"A federal appeals court rejected the most direct constitutional challenge to special counsel Robert Mueller’s authority on Tuesday, telling a former associate of Roger Stone he must testify before Mueller because the special counsel was ""properly appointed"" to his role overseeing the independent investigation into Russian meddling in the 2016 U.S. presidential election.
The appeal was launched on behalf of Andrew Miller, a former associate of Stone, a political provocateur, and steered by the National Legal and Policy Center, a well-funded conservative legal group with a deep history of mounting legal challenges against left-leaning organizations and Democratic politicians.
Miller is fighting a special counsel subpoena compelling him to appear before Mueller's federal grand jury, which has been met with heavy legal resistance. In late June, Miller turned over requested documents to prosecutors, but he was also subpoenaed to testify before the grand jury in the Russia probe.
The three judge panel found that Mueller was properly appointed in the spring of 2017 by the then-deputy attorney general of the United States, Rod Rosenstein, after the attorney general at the time Jeff Sessions, recused himself from the Russia investigation.
“Because the Special Counsel is an inferior officer, and the Deputy Attorney General became the head of the Department by virtue of becoming the Acting Attorney General as a result of a vacancy created by the disability of the Attorney General through recusal on the matter, we hold that Miller’s challenge to the appointment of the Special Counsel fails. Accordingly, we affirm the order finding Miller in civil contempt,” D.C. Circuit Court Judges Karen Henderson, Sri Srinivasan and Judith Rogers wrote in an opinion Tuesday.
In upholding the contempt order, the three-judge panel ordered Miller to testify before Mueller's grand jury.
After oral arguments last November, Miller's attorney Paul Kamenar told ABC News, ""Even if we lose this [appeals] case we will certainly bring it to the Supreme Court.""
Kamenar’s challenge to the legitimacy of the special counsel probe is based on a claim that Mueller’s appointment was not handled properly. He argues Mueller has been effectively operating as a “U.S. Attorney at large,” and as such, should have been appointed by the president and confirmed by the Senate – neither of which occurred.
In a statement to ABC News following the judges’ decision to uphold the contempt order against Miller, Kamenar wrote, ""We are disappointed with the decision and will be considering future legal action, whether before the full court of appeals or the Supreme Court.”
Kamenar added, “The fact that the court took over three months to decide this appeal after oral argument compared to the three days it took in December to decide another challenge to a Mueller subpoena issued to an unnamed foreign corporation, demonstrates that this was a serious and substantial challenge.”
Reached by ABC News on Tuesday, special counsel spokesperson Peter Carr declined to comment.
Miller, 34, paints houses for a living now but served as an aide to Stone until 2013.
Stone, who was a longtime informal political adviser to President Donald Trump, once described Miller as his “wingman” because he helped manage Stone’s schedule, travel and media appearances, and also provided “some I.T. work.” Miller identifies himself as a libertarian and has said he did not support Trump’s candidacy, but he did accompany Stone to the 2016 Republican National Convention.
On Jan. 25th, Stone was arrested in a pre-dawn FBI raid at his home in Florida and charged with a seven-count indictment in Mueller's probe. On Feb. 1, he pleaded not guilty to the charges."
The Electoral College limits the campaign playing field. Popular voting expands it: ANALYSIS,Matthew Dowd,"Tue, 19 Mar 2019 21:39:00 GMT",N/A,"U.S Senator Elizabeth Warren, who is competing for the Democratic nomination for president, said this week that she supports “getting rid of the electoral college,” and having the presidency decided by a national popular vote.
She was quickly attacked by many who think this is a “radical idea.” Let us pause for a moment and examine that hypothesis.
First, in polling over the last few years, a large majority of voters support deciding the presidency by popular vote as opposed to the Electoral College. Support for the popular vote has risen as Americans have witnessed, in the last 20 years, two presidents win the Oval Office while losing the national popular vote. The difference in 2016 was greatest -- Hillary Clinton won the popular vote by more than 3 million, but lost the Electoral College to Donald Trump.
Second, the argument that the Electoral College ensures that candidates travel to smaller states as well as large ones isn’t true, and is no longer happening. In the 2020 elections, campaigns and candidates from both major parties are expected to concentrate nearly all their time and efforts in only 5 or 6 states, which represent less than 20 percent of people who will vote for president. Therefore, 44 or 45 states, large and small, will be virtually ignored in the process as it is now.
If the 2020 election were to be decided by a national popular vote instead of the Electoral College, candidates and campaigns in the general election would have to completely refashion their strategies.
In all likelihood, they would have to run a national campaign with national advertising buys where all Americans would be involved in the debate over who the next president should be. To reallocate resources, the campaigns would have to put time and effort into at least 40 states, representing 90 percent of the country’s voters.
In a national popular vote effort, campaigns would have to spend time in places like Texas, California, New York, Louisiana, Washington, Missouri, Illinois, Kentucky, Massachusetts, George, North Carolina, etc. Under the current system, candidates only go to those states to fundraise.
A popular vote effort would have to appeal to voters in urban, suburban, ex-urban, and rural communities of America. And campaigns would have to concentrate on both turning out their bases, as well as persuading swing voters.
If you are someone who is an independent and wants choices in the presidential race other than Democrat or Republican, ending the Electoral College removes a major impediment for an independent presidential candidacy. It is much easier for an independent to win the popular vote than it is for that candidate to win the Electoral College.
Third, while passing a constitutional amendment to abolish the Electoral College is highly unlikely -- the bar of three-fourths of states passing an amendment in this polarized environment is almost impossible -- there are constitutional ways to make the presidential election more representative of the nation as a whole, involving more voters from more areas. Already, a number of states have signed on to the National Popular Vote Interstate Compact, in which a state’s electoral votes would be assigned to whoever won the national popular vote. Though they are not yet at the required number of states necessary to total 270 electoral votes, there is a path to get their politically in the years ahead.
Another way to make the popular vote matter, while retaining the Electoral College, is to adopt the Maine and Nebraska model. Those states assign electoral votes by a combination of two statewide and one for each congressional district in their states. A presidential candidate wins one electoral vote for every house district they win. This would need to be combined with efforts to fix gerrymandering and expanding their number of members in the U.S. House of Representatives.
Today, each House member represents on average about 750,000 people which has become both unwieldy and less responsive to constituents. Keep in mind, in 1789 after the first apportionment, 105 House members each represented roughly 37,000 people, according to the Pew Research Center. The number of representatives has increased after nearly every census apportionment until it reached 435 members in 1913, when the average district size was at approximately 200,000 people. A law was passed in 1911 limiting the size of the House to 435 members, and it has remained for more than 100 years. Our founders foresaw a rise in House members as America grew in population, and Congress could pass a law to expand the House to a more representative number.
So while abolishing the Electoral College as Warren suggests may be near impossible, her statement that a president should be elected by national popular vote is not radical, it is actually mainstream.
We can get closer to the national popular vote having greater weight in presidential elections and having a president represent all Americans in ways that don’t require amending the Constitution. These fixes will make presidential candidates run more diverse campaigns, and campaign in all cities and communities of our country.
That will help unify us more as a country, and would likely lead to more informed public policy. How can anyone be against that outcome?"
"Facebook agrees to hide demographics from landlords, creditors looking to advertise",Anne Flaherty,"Tue, 19 Mar 2019 13:38:00 GMT",N/A,"Facebook announced Tuesday that it will block landlords and creditors from using a person's demographic data including a person’s zip code, gender and age, to target certain groups in online advertisements.
The announcement is part of a legal settlement with groups that promote fair housing laws. They complained in court last year that the social media giant enabled real estate brokers and landlords to exclude certain demographics when advertising.
The federal government, under the U.S. Department of Housing and Urban Development, had filed its own complaint against Facebook for violating the Fair Housing Act, which prohibits businesses from which prohibits the sale or rental of housing based on such factors as race or religion.
The company also was accused of allowing employers to discriminate against women by targeting job listings toward men only, specifically in traditionally male-dominated fields.
The complaints followed a 2016 report by ProPublica that found Facebook allowed advertisers to exclude anyone with an “affinity” for African-American, Asian-American or Hispanic people.
The 1968 Fair Housing Act of 1968 says its illegal ""to make, print, or publish, or cause to be made, printed, or published any notice, statement, or advertisement, with respect to the sale or rental of a dwelling that indicates any preference, limitation, or discrimination based on race, color, religion, sex, handicap, familial status, or national origin.”
Facebook said in a blog post Tuesday by Sheryl Sandberg, the company's chief operating officer, that it already prohibited certain categories from being used in advertising such as race, ethnicity, sexual orientation and religion. The company said it removed the option for landlords, employers and creditors to reach people with an ""affinity for African-American or Hispanic-related content"" about a year ago.
Under the new rules, a company looking to run housing, employment or credit ads also won’t be able to target Facebook members based on age, gender or zip code. And, Facebook said it was also building a tool that would let people search for all housing ads in the U.S. regardless of whether the ads are shown.
“Housing, employment and credit ads are crucial to helping people buy new homes, start great careers, and gain access to credit,” Facebook COO Sheryl Sandberg wrote in the company’s online post. “They should never be used to exclude or harm people.”
A joint statement by the advocacy groups, including the National Fair Housing Alliance, said in a statement that the agreement represented a ""significant and historic precedent for big data and tech companies"" because it makes clear the information they collect can't be used to discriminate.
""Companies must understand that depending on how data is being used, it can harm people and communities,"" said Fred Freiberg, director of the Fair Housing Justice Center of New York. ""This agreement will help other companies that rely on algorithms and data for a range of services and operations to carefully consider whether their policies, products, and platforms are illegally discriminating against consumers."""
"Donald Trump and 'the Trump of the Tropics,' Brazil's Jair Bolsonaro, meet at White House",Meridith McGraw,"Tue, 19 Mar 2019 12:44:00 GMT",N/A,"President Donald Trump and ""the Trump of the Tropics,"" Brazilian president Jair Bolsonaro, met face to face at the White House on Tuesday.
Bolsonaro -- a nationalist, Twitter-loving, ""fake-news"" decrying politician -- chose to make the first bilateral trip of his presidency to Washington, where he has found an important friend and ally in Trump.
As part of a three-day visit in Washington, Bolsonaro held a press conference with Trump as he aims to strengthen economic ties and positioning with the U.S. as Brazil seeks an allied front in the Western Hemisphere. In a statement ahead of the visit, White House press secretary Sarah Sanders said the two leaders will discuss ""opportunities for defense cooperation, pro-growth trade policies, combating transnational crime and restoring democracy in Venezuela.""
A senior administration official, who requested anonymity, told reporters Bolsonaro's visit represented a ""real opportunity to fundamentally remake our relationship with Brazil.""
""The U.S.-Brazil relationship has always been one of potential, but yet that potential has not always been met,"" the senior administration official said. ""This time it is different. This is a historic remaking of the U.S.-Brazil relationship where there is truly going to be a North-South axis of the two largest economies in the Western Hemisphere and a true partnership of the largest economies.""
At the start of their White House meetings, the president said he is considering NATO membership or some kind of similar alliance for Brazil.
“We are looking at it very strongly. We are very inclined to do that. The relationship that we have right now with Brazil has never been better. I think there was a lot of hostility with other presidents. There is zero hostility with me,” Trump said. “And we are going to look at that very strongly in terms of whether it is NATO or something having to do with alliance.”
In the Rose Garden press conference, the two leaders said they were able to discuss their goals in Venezuela. Trump threatened tougher sanctions on Venezuela and said ""all options are on the table."" Maduro would not divulge any new strategies in the region, but said establishing a true democracy in the country was a shared priority.
The leaders on Tuesday also discussed a Brazilian offer to grant the United States access to a rocket launch site, the removal of a Visa requirement for Americans traveling to Brazil, and trade.
If Bolsonaro's goal was to strengthen the relationship between Brazil and the United States, it appeared he was successful at least in gaining the friendship of Trump, who gave him a warm welcome in the Rose Garden. Bolsonaro even got a chuckle out of the president for saying he believed he would get re-elected.
""Well, it's an internal affair. We will respect whatever the ballots tell us on 2020, but I do believe Donald Trump is going to be re-elected fully,"" Bolsonaro said when asked about the 2020 elections.
""Thank you. I agree,"" Trump said with a smile.
Trump said he liked to hear Bolsonaro use the term ""fake news.""
In his opening statement, Bolsonaro said that Brazil and the United States ""stand side by side in their efforts to ensure liberties in respect to traditional family lifestyles, respect to god, our creator, politically correct attitudes, and against fake news.""
Trump said he was ""proud"" to hear his new Brazilian buddy use the same term.
Bolsonaro, who was accompanied on his trip to the United States by his son, lawmaker Eduardo Bolsonaro, visited CIA headquarters in Langley, Virginia, on Monday and addressed the U.S. Chamber of Commerce. Brazil is the second-largest economy in the Western Hemisphere, and the United States is Brazil's second-largest trading partner after China.
""For the first time in a while, a pro-America Brazilian president arrives in D.C.,"" Bolsonaro tweeted upon arriving in Washington. ""It's the beginning of a partnership focused on liberty and prosperity, something that all of us Brazilians have long wished for.""
Like Trump, Bolsonaro is a right-wing populist with a penchant for rocking the status quo and using Twitter to blast his message around the globe. Bolsonaro has been accused of making racist and homophobic remarks and recently has come under fire for a sexually explicit tweet during Brazil’s Carnival festival.
Trump was one of the first world leaders to call and congratulate Bolsonaro after this landslide victory in October. Similar to Trump's election, Bolsonaro's win stunned the world and was part a wave of nationalist, right-wing leaders elected in Latin America.
""His election, he broke all of the historic taboos of winning an election in Latin America. He was unabashedly, particularly in Brazil, pro America,"" a senior administration official said of Bolsonaro. ""He ran on a campaign that he wanted to be the best friend of the United States that he wanted to have this close relationship with President Trump, and what that would mean for Brazil, for the region, for the world, I think that was very important.""
The official said the president took note of Bolsonaro's Trump-like rhetoric and social media presence, and called Bolsonaro to congratulate him within hours of his election.
U.S. officials hope the visit will not only boost their economic relationship but align efforts to provide humanitarian assistance to Venezuela.
Brazil shares a border with Venezuela and, like the United States, has joined with dozens of other world leaders in pressuring socialist Nicholas Maduro to turn over power to opposition leader Juan Guaido. But while Trump has said ""every option is on the table"" in Venezuela, suggesting the use of military force, Brazil has pushed for diplomatic talks to lead to a change in power.
A senior administration official said Brazil plays an important role as an ""interlocutor"" between the U.S. and Venezuela.
""Brazil has allowed the United States to preposition humanitarian aid for Venezuela on Brazil's northern border and we are very grateful to that and we thank him for working tirelessly to provide aide to the Brazilian people and them opening their doors,"" the official said. ""There's also an opportunity here where they can be very good interlocutors. The Brazilian Military has very good relationships with the Venezuelan military and clearly communicate with them as to what should be the role with the Venezuelan military in regards to civility and not repressing and not maintaining the usurpation of democracy Maduro seeks.""
The U.S. and Brazil hope to end the meetings with signed agreements, including an agreement that would allow the U.S. to launch satellites and rockets into space from Brazil.
""You will see -- after the visit tomorrow, we will plan to announce a joint statement that will have a lot of deliverables, some which are currently, frankly, right now being signed and being finalized and being negotiated. And that's all extraordinarily positive,"" an official said Monday. ""We think that we have, really, a historic opportunity to re-frame hemispheric relations with this North-South axis."""
New body cam video shows deadly North Carolina police shooting of 27-year-old,Emily Shapiro,"Tue, 16 Apr 2019 14:51:00 GMT",N/A,"Newly-released body camera footage reveals the dramatic and deadly police shooting of a 27-year-old man who authorities say was armed in a North Carolina parking lot.
A judge granted the release of the tense body camera footage on Monday. But the shooting unfolded on the morning of March 25, after the Charlotte-Mecklenburg Police Department said two 911 calls came within minutes reporting an armed man at a business.
""The first caller frantically said she needed police quickly"" because a suspect went behind the counter with a gun and pointed it at an employee, police said in a statement on Monday. ""The second caller frantically said she needed police because an individual had approached her vehicle while she was waiting for food in the parking lot of the business and pulled out a gun.""
When two officers reached the parking lot, they saw Danquirs Franklin squatting next to an open car door, said police.
Both officers pointed guns at Franklin, who was black, and repeatedly told him to ""put the gun down.""
Franklin remained crouched on the ground of the parking lot, next to an open car door, facing the inside of the car.
When one of the officers ""perceived an imminent, deadly threat,"" she fired her gun twice, hitting Franklin, said police. The 27-year-old was taken to a hospital, where he died, said police.
In the blink of an eye, their jobs require an instantaneous decision and that it something none of us should take lightly.
Charlotte Mayor Vi Lyles said the video showed ""the instant where a mother lost her son, children lost their father and a young man had his life end much too soon.""
""It's another really sad moment and reminder that the responsibilities of law enforcement are and will always be immense,"" she said Monday. ""In the blink of an eye, their jobs require an instantaneous decision and that it something none of us should take lightly.""
Just before the video was released, Lyles told reporters Monday, ""I believe it's the duty of responsible leaders to get out in front of an event like this, to ensure everyone in our city that we are dedicated to the pursuit of truth and justice.""
Charlotte-Mecklenburg Police Chief Kerr Putney described the video as ""like a punch to the gut. It's hard to watch ... because a life has been lost. ""
But Putney added there is ""clear and compelling evidence"" Franklin was armed.
The mayor and police said they are prepared for peaceful protests.
""I call on all of Charlotte to come together respectfully,"" Lyles stressed. ""How we respond as a community will reflect how we honor the memory of Danquirs Franklin.""
""I hope you’ll do what we're doing and pray for Miss Franklin and her family. Pray for our officers, whose lives have been destroyed, as well,"" Putney said. ""And come together as a community and be heard. But be lawful.”
The Charlotte-Mecklenburg Police's homicide unit is investigative the shooting, and once that is completed, the evidence will be turned over to the Mecklenburg County District Attorney’s Office for review, the department said Monday.
Wende Kerl, the Charlotte-Mecklenburg police officer who shot Franklin, was placed on paid administrative leave, the department said in March. Kerl has been with the department for over 20 years.
The department's internal affairs bureau ""will conduct a separate but parallel investigation to determine whether CMPD [Charlotte-Mecklenburg Police Department] policies and procedures were adhered to,"" the department said in March.
ABC News' Rachel Katz and Ben Stein contributed to this report."
Michigan AG to review 2015 fatal shooting by ICE agent,The Associated Press,"Tue, 16 Apr 2019 13:39:00 GMT",N/A,"DETROIT -- Michigan's attorney general will look into the fatal shooting of a 20-year-old man by a U.S. customs agent during a 2015 police raid in Detroit.
Laura Moody, chief of staff for Attorney General Dana Nessel, says in a letter to Terrance Kellom's family that the case ""will be reviewed by an experienced criminal attorney.""
Police have said Kellom was shot after lunging at the agent with a hammer at his father's home. His father, Kevin Kellom, has disputed that account. The agent wasn't charged.
Nabih Ayad, a lawyer representing Kellom's family, says an officer who earlier said Kellom had a hammer changed his story while under oath in the family's civil suit against the agent.
The Wayne County prosecutor's office said last week that it was reviewing new information in the case."
"As Mueller report release nears, White House prepares robust response: Sources",Katherine Faulders,"Tue, 16 Apr 2019 13:51:00 GMT",N/A,"While President Donald Trump and the White House are uncertain about what exactly will be revealed in special counsel Robert Mueller's report when Attorney General William Barr clears its release to the public on Thursday, sources say they are preparing an aggressive response.
Sources say the initial response will look much as it did when Mueller first transmitted the report to Barr late last month, which was expressing relief over Barr’s general conclusions.
""He anticipates the end of this just like everyone else,"" a source with knowledge of the president's thinking said. The president's two top White House lawyers, Pat Cipollone and Emmet Flood, are expected to be among the White House officials reading the report.
Barr and a select few of his associates have been reviewing Mueller's 400-plus page report in recent weeks and making redactions. ABC News has learned that the White House has received a broad briefing on the report -- described as non-specific in nature, focused mostly on the mechanics of the report itself -- including that it will be divided into sections on obstruction and collusion and that certain portions will be redacted, according to sources familiar with the matter.
White House officials and sources close to the administration say advisers to the president are most concerned about the possibility of previously unknown examples of potential obstruction of justice and what information Mueller's team learned from witness interviews, especially former White House Counsel Don McGahn who sat for well over 30 hours with Mueller's investigators.
Sources say the president hasn't privately expressed any concern over the contents of the report, and is not likely to read it in its entirety. White House officials will review the report, brief the president, and then release a statement that will come from White House press secretary Sarah Sanders.
""I heard it's going to come out on Thursday. That's good. And there can't be anything there because there was no crime. There was no anything,"" Trump told ABC News affiliate KSTP Monday in Minnesota. ""The crime was committed by the other side. This crime was all made up. It was all a fabrication.""
Members of the communications staff are also likely to make the rounds on television to speak about the report's release and defend the president.
A second source close to the president said the White House expects no information in the report will implicate the president legally, based on Barr’s release of the principal conclusions; however, the source expects ""it will have some statements that are bad PR-wise.""
While the president hasn't privately expressed any concern over the contents of the report, sources say he is using his recent tweets attacking the report as a way to distract from any negative revelations on Thursday.
The president is also expected to travel to Mar-a-Lago for the Easter weekend on Thursday, sources say, and depending on what's revealed, Trump could speak to reporters as he leaves the White House."
Abortion rights group asks Supreme Court to strike Louisiana admitting privileges law,Devin Dwyer,"Wed, 17 Apr 2019 10:14:00 GMT",N/A,"Abortion rights advocates have asked the U.S. Supreme Court to summarily strike down a controversial Louisiana law requiring doctors who perform abortions to have admitting privileges at a local hospital.
The court in February, by a 5-4 vote, temporarily put the law on hold – hours before it was set to take effect -- pending an expected appeal from the Center for Reproductive Rights, which is representing a Louisiana abortion clinic and two physicians.
The organization is challenging a decision by the 5th Circuit U.S. Court of Appeals upholding the Louisiana law.
“The stakes in this case are high for the rule of law, and the real world consequences for women in Louisiana could be dire,” said Nancy Northup, president of the Center for Reproductive Rights. “Abortion access in the state is already hanging by a thread. The number of clinics has already fallen from 11 in 2001 to just 3 today.”
The group says enforcement of the law would impose a near-impossible standard for abortion providers to meet, citing administrative hurdles to securing admitting privileges across the state.
“The doctors in our case and throughout Louisiana who provide abortions engaged in extensive efforts to obtain privileges and virtually all of them were shut out,” said T.J. Tu, the lead attorney on the case.
In 2016, the Supreme Court struck down a similar law in Texas, saying the rules effectively imposed an “undue burden” on women’s right to access an abortion by reducing the number of available providers.
“So blatant is the 5th Circuit’s refusal to follow [that precedent] that we are asking in our petition for a summary reversal,” Northup said. “That’s how clear cut this case is. There’s no need for new arguments.”
Supporters of the Louisiana law say the admitting-privileges requirement is a reasonable restriction to ensure the health and safety of women seeking abortions.
“We urge the Court to grant cert in this case so that the Justices can take a closer look at the facts themselves and let the law stand,” said Marjorie Dannenfelser, president of the anti-abortion group Susan B. Anthony List.
“Louisiana legislators on both sides of the aisle enacted this law to protect women from the abortion lobby which repeatedly puts profit over health and safety standards, and has proven incapable of policing itself,” she said in a statement when the law was first put on hold.
Kathaleen Pittman, clinic administrator at one Louisiana abortion provider, said health care workers are already seeing an uptick in cases of attempted “self-abortions” because of shrinking options for women.
“We do anticipate a rise in self-abortions. We’ve seen it reported to us, especially from women coming to us from Texas, of trying alternative means,” Pittman said. “Women are going to have abortions, the question is: will they be illegal and unsafe, or legal and safe?”
Louisiana authorities have 30 days to file a response with the Supreme Court. While it is possible the justices could grant their petition this term, it’s more likely they do so during the October term, the parties said."
"As Trump attacks Omar, progressive Democrats unhappy with Pelosi's defense",Mariam Khan,"Tue, 16 Apr 2019 15:11:00 GMT",N/A,"Even as President Donald Trump continues his feud with Rep. Ilhan Omar, liberals are criticizing House Speaker Nancy Pelosi of not defending the freshman Muslim congresswoman quickly or strongly enough.
In an interview with local television station KSTP during a trip to Minnesota on Monday, Trump was asked if he had any regrets about his Friday tweet accusing Omar of downplaying the Sept. 11, 2001 terrorist attacks.
“No, not at all,” Trump said. “Look, she’s been very disrespectful to this country. She’s been very disrespectful, frankly, to Israel. She is somebody that doesn’t really understand, I think life, real life, what it’s all about. It’s unfortunate. She’s got a way about her that’s very, very bad I think for our country. I think she’s extremely unpatriotic and extremely disrespectful to our country.”
On Tuesday, Pelosi, on a congressional trip to London, was asked during an interview with CNN if she agrees with her critics that she did not defend Omar swiftly enough.
""Well, I haven't had a chance to speak with her, I'm traveling,"" Pelosi told CNN's Christiane Amanpour.
She added: ""I don't even know what was said, but do I know what the president did was not right.""
On Friday, the president tweeted a video that used footage of 9/11 with comments Omar made at the Council on American-Islamic Relations. The 43-second video captures Omar saying ""some people did something,” in reference to terrorists who killed thousands when they crashed planes into the World Trade Center, the Pentagon and a field in Pennsylvania. The video, which features dramatic music and video of the chaos in downtown Manhattan, asks ""Some people did something?”
But it does not show the entirety of Omar’s comments.
""For far too long we have lived with the discomfort of being a second-class citizen and, frankly, I’m tired of it, and every single Muslim in this country should be tired of it,” Omar said at CAIR in California last March. ""CAIR was founded after 9/11 because they recognized that some people did something and that all of us were starting to lose access to our civil liberties.”
Omar went on to say that the 9/11 attacks changed how Muslims are viewed in America and encouraged Muslims to not tolerate being treated as ""second-class” citizens.
Republicans have criticized the seemingly passive reference to the terrorists who carried out the attacks, while Omar's defenders have countered that the remarks were largely taken out of context and have been seized on in order to stoke anti-Islamic sentiment against the Muslim congresswoman.
Pelosi condemned Trump for the video, but she did not initially mention Omar, who was the target of Trump’s video, by name.
“Since the President’s tweet Friday evening, I have experienced an increase in direct threats on my life—many directly referencing or replying to the President’s video,"" Omar said in a statement Sunday evening. ""I thank the Capitol Police, the FBI, the House Sergeant at Arms, and the Speaker of the House for their attention to these threats.""
Pelosi confirmed Sunday that she personally spoke with the House Sergeant-at-Arms in order to ensure the safety of Omar, as well as her family and staff.
“The President’s words weigh a ton, and his hateful and inflammatory rhetoric creates real danger,"" Pelosi said. ""President Trump must take down his disrespectful and dangerous video.”
Fellow Democratic freshman Alexandria Ocasio-Cortez of New York called on Democrats to respond to Trump’s tweet and cautioned that if they were to remain silent, they would be “complicit” in Trump’s attacks.
""Members of Congress have a duty to respond to the President’s explicit attack today.@IlhanMN’s life is in danger. For our colleagues to be silent is to be complicit in the outright, dangerous targeting of a member of Congress,” Ocasio-Cortez wrote.
“Has Nancy Pelosi ever visited a mosque in this country?” said Waleed Shahid, spokesman for the liberal group Justice Democrats in a tweet.
Pelosi spokesman Drew Hammill forcefully denied Shahid's suggestion in an emailed response to ABC News saying ""...the Speaker has been to many mosques in this country and throughout the world.""
""This one group attacking the Speaker believes it’s more important to raise money for their own organization than condemn the President’s disgusting and vile attacks on Democrats,"" Hammill said of the Justice Democrats group.
On the president's attacks against Omar, Hammill said: ""The President is making these attacks because of the imminent release of the Mueller report in a desperate attempt to change the subject.""
Rep. Rashida Tlaib, D-Mich., who is also Muslim, expressed frustration over how Democratic leadership was handling Trump’s attacks against Omar.
""They put us in photos when they want to show our party is diverse,"" Tlaib tweeted over the weekend, slamming top Democrats for failing to defend Omar from Trump’s Islamophobic attacks while also insinuating their diversity is a prop for the Democratic Party.
""However, when we ask to be at the table, or speak up about issues that impact who we are, what we fight for & why we ran in the first place, we are ignored,"" she continued, re-tweeting a California state legislative aide who criticized ""the attacks on @IlhanMN and subsequent lack of support from Democratic leadership.""
Just hours after Omar released a statement reporting a surge of threats against her life following a tweeted attack from Trump, Trump again took aim at Omar on Monday by describing her as Pelosi’s “leader.""
""Before Nancy, who has lost all control of Congress and is getting nothing done, decides to defend her leader, Rep. Omar, she should look at the anti-Semitic, anti-Israel and ungrateful U.S. HATE statements Omar has made,"" Trump tweeted. ""She is out of control, except for her control of Nancy!""
Pelosi is also taking heat for remarks she made Monday at the London School of Economics, in which she seemingly downplayed her and Ocasio-Cortez’s stunning midterm election victories.
“When we won this election, it wasn’t in districts like mine or Alexandria’s. And she’s a wonderful member of Congress, I think all of our colleagues will attest,” the California Democrat said.
“But those are districts that are solidly Democratic. This glass of water would win with a ""D"" next to its name in those districts,” she said as she hoisted a glass of water.
Ocasio-Cortez, Tlaib, and Omar all represent a new progressive wing of the Democratic Party that is calling for Medicare for all, free college tuition, and a more forceful response to fight climate change.
Pelosi warned Democrats about taking the party too far left, saying “our message, our progressive message, is down the middle.”
ABC News' Meridith McGraw contributed to this story."
